[Mon, 09 Apr 18 13:42:19 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:42:23 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:42:23 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:42:32 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:42:32 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:45:47 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:45:47 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:45:47 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:46:03 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:46:03 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:54:44 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:54:44 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:55:02 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:55:02 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:04 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:04 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:17 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:17 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:17 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:27 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:27 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:56 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:56:56 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:57:16 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:57:16 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:57:18 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 13:57:18 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:04:04 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:04:04 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

